UniprotID	Q9Y6N7-6
Accession	Q9Y6N7;B2RXI1;D3DU36;E9PD49;Q1RMC7;Q7Z300;Q9BUS7
EntryName	ROBO1_HUMAN
ProteinName	Roundabout homolog 1 (Deleted in U twenty twenty) (H-Robo-1)
GeneName	ROBO1 DUTT1
Length	1551
Function	Receptor for SLIT1 and SLIT2 that mediates cellular responses to molecular guidance cues in cellular migration, including axonal navigation at the ventral midline of the neural tube and projection of axons to different regions during neuronal development (PubMed:10102268, PubMed:24560577). Interaction with the intracellular domain of FLRT3 mediates axon attraction towards cells expressing NTN1 (PubMed:24560577). In axon growth cones, the silencing of the attractive effect of NTN1 by SLIT2 may require the formation of a ROBO1-DCC complex (By similarity). Plays a role in the regulation of cell migration via its interaction with MYO9B; inhibits MYO9B-mediated stimulation of RHOA GTPase activity, and thereby leads to increased levels of active, GTP-bound RHOA (PubMed:26529257). May be required for lung development (By similarity).
Subcellular Location	Cell membrane; Cell projection; Axon; Endoplasmic reticulum-Golgi intermediate compartment membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.10146753
pNuLoCRegion	
