UniprotID	Q9NQC1-2
Accession	Q9NQC1;D3DQA3;Q6IE80;Q8TEK0;Q92513;Q96GQ6
EntryName	JADE2_HUMAN
ProteinName	E3 ubiquitin-protein ligase Jade-2 (EC 2.3.2.27) (Jade family PHD finger protein 2) (PHD finger protein 15)
GeneName	JADE2 KIAA0239 PHF15
Length	789
Function	Scaffold subunit of some HBO1 complexes, which have a histone H4 acetyltransferase activity (PubMed:16387653). Acts as an E3 ubiquitin-protein ligase mediating the ubiquitination and subsequent proteasomal degradation of target protein histone demethylase KDM1A (PubMed:25018020). Also acts as a ubiquitin ligase E3 toward itself. Positive regulator of neurogenesis (By similarity).
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9392726
pNuLoCRegion	1...23;233...239
