UniprotID	Q9UPW5-2
Accession	Q9UPW5;B4DIT6;B4DRZ8;Q5VV80;Q63HM7;Q658P5;Q6P9D6;Q9H8U6;Q9H9W8;Q9NVK1
EntryName	CBPC1_HUMAN
ProteinName	Cytosolic carboxypeptidase 1 (EC 3.4.17.-) (EC 3.4.17.24) (ATP/GTP-binding protein 1) (Nervous system nuclear protein induced by axotomy protein 1 homolog) (Protein deglutamylase CCP1)
GeneName	AGTPBP1 CCP1 KIAA1035 NNA1
Length	1186
Function	Metallocarboxypeptidase that mediates protein deglutamylation of tubulin and non-tubulin target proteins (PubMed:22170066, PubMed:24022482, PubMed:30420557). Catalyzes the removal of polyglutamate side chains present on the gamma-carboxyl group of glutamate residues within the C-terminal tail of alpha- and beta-tubulin (PubMed:22170066, PubMed:24022482, PubMed:30420557). Specifically cleaves tubulin long-side-chains, while it is not able to remove the branching point glutamate (PubMed:24022482). Also catalyzes the removal of polyglutamate residues from the carboxy-terminus of alpha-tubulin as well as non-tubulin proteins such as MYLK (PubMed:22170066). Involved in KLF4 deglutamylation which promotes KLF4 proteasome-mediated degradation, thereby negatively regulating cell pluripotency maintenance and embryogenesis (PubMed:29593216).
Subcellular Location	Cytoplasm; Cytoplasm; Cytosol; Nucleus; Mitochondrion
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.62981254
pNuLoCRegion	21...37
