UniprotID	Q5VT25-2
Accession	Q5VT25;O75039;Q59GZ1;Q5H9N9;Q5T797;Q5VT26;Q5VT27;Q86XX2;Q86XX3;Q99646
EntryName	MRCKA_HUMAN
ProteinName	Serine/threonine-protein kinase MRCK alpha (EC 2.7.11.1) (CDC42-binding protein kinase alpha) (DMPK-like alpha) (Myotonic dystrophy kinase-related CDC42-binding kinase alpha) (MRCK alpha) (Myotonic dystrophy protein kinase-like alpha)
GeneName	CDC42BPA KIAA0451
Length	1754
Function	Serine/threonine-protein kinase which is an important downstream effector of CDC42 and plays a role in the regulation of cytoskeleton reorganization and cell migration (PubMed:15723050, PubMed:9092543, PubMed:9418861). Regulates actin cytoskeletal reorganization via phosphorylation of PPP1R12C and MYL9/MLC2 (PubMed:21457715). In concert with MYO18A and LURAP1, is involved in modulating lamellar actomyosin retrograde flow that is crucial to cell protrusion and migration (PubMed:18854160). Phosphorylates: PPP1R12A, LIMK1 and LIMK2 (PubMed:11340065, PubMed:11399775). May play a role in TFRC-mediated iron uptake (PubMed:20188707). In concert with FAM89B/LRAP25 mediates the targeting of LIMK1 to the lamellipodium resulting in its activation and subsequent phosphorylation of CFL1 which is important for lamellipodial F-actin regulation (By similarity). Triggers the formation of an extrusion apical actin ring required for epithelial extrusion of apoptotic cells (PubMed:29162624).
Subcellular Location	Cytoplasm; Cell projection; Lamellipodium
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7357426
pNuLoCRegion	17...23;190...197
