UniprotID	Q9UBC3-8
Accession	Q9UBC3;A2A2E2;B4DSM8;B4DSU1;E1P5M6;E1P5M7;E7EN63;E9PBF2;Q9UBD4;Q9UJQ5;Q9UKA6;Q9UNE5;Q9Y5R9;Q9Y5S0
EntryName	DNM3B_HUMAN
ProteinName	DNA (cytosine-5)-methyltransferase 3B (Dnmt3b) (EC 2.1.1.37) (DNA methyltransferase HsaIIIB) (DNA MTase HsaIIIB) (M.HsaIIIB)
GeneName	DNMT3B
Length	728
Function	Required for genome-wide de novo methylation and is essential for the establishment of DNA methylation patterns during development. DNA methylation is coordinated with methylation of histones. May preferentially methylates nucleosomal DNA within the nucleosome core region. May function as transcriptional co-repressor by associating with CBX4 and independently of DNA methylation. Seems to be involved in gene silencing (By similarity). In association with DNMT1 and via the recruitment of CTCFL/BORIS, involved in activation of BAG1 gene expression by modulating dimethylation of promoter histone H3 at H3K4 and H3K9. Isoforms 4 and 5 are probably not functional due to the deletion of two conserved methyltransferase motifs. Functions as a transcriptional corepressor by associating with ZHX1. Required for DUX4 silencing in somatic cells (PubMed:27153398).
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.91214865
pNuLoCRegion	22...38;323...356;611...626
