UniprotID	Q8N1F7-2
Accession	Q8N1F7;B3KPQ8;Q14705
EntryName	NUP93_HUMAN
ProteinName	Nuclear pore complex protein Nup93 (93 kDa nucleoporin) (Nucleoporin Nup93)
GeneName	NUP93 KIAA0095
Length	696
Function	Plays a role in the nuclear pore complex (NPC) assembly and/or maintenance (PubMed:9348540). May anchor nucleoporins, but not NUP153 and TPR, to the NPC. During renal development, regulates podocyte migration and proliferation through SMAD4 signaling (PubMed:26878725).
Subcellular Location	Nucleus membrane; Nucleus; Nuclear pore complex; Nucleus envelope
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.78913224
pNuLoCRegion	19...45
