UniprotID	Q9HBX9-2
Accession	Q9HBX9;B4DHD1;B4DTV2;Q2M215;Q3KU24;Q3KU25;Q3KU26
EntryName	RXFP1_HUMAN
ProteinName	Relaxin receptor 1 (Leucine-rich repeat-containing G-protein coupled receptor 7) (Relaxin family peptide receptor 1)
GeneName	RXFP1 LGR7
Length	724
Function	Receptor for relaxins. The activity of this receptor is mediated by G proteins leading to stimulation of adenylate cyclase and an increase of cAMP. Binding of the ligand may also activate a tyrosine kinase pathway that inhibits the activity of a phosphodiesterase that degrades cAMP.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.015256356
pNuLoCRegion	
