UniprotID	Q8IWC1-2
Accession	Q8IWC1;A2A2J0;A6NCZ7;A6NHR4;B4DWD2;H7BY77;Q5JXI5;Q5JXI6;Q6P2S1;Q9H9M8
EntryName	MA7D3_HUMAN
ProteinName	MAP7 domain-containing protein 3
GeneName	MAP7D3 MDP3
Length	835
Function	Promotes the assembly and stability of microtubules.
Subcellular Location	Cytoplasm; Cytoskeleton; Spindle
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8533158
pNuLoCRegion	25...36
