UniprotID	Q8WXE1-2
Accession	Q8WXE1;A8K6A3;A8K714;B2RCE7;B4DU92;B5MEB7;Q69YK9;Q8NHQ2;Q8WUG7;Q96CL3;Q9HA30
EntryName	ATRIP_HUMAN
ProteinName	ATR-interacting protein (ATM and Rad3-related-interacting protein)
GeneName	ATRIP AGS1
Length	764
Function	Required for checkpoint signaling after DNA damage. Required for ATR expression, possibly by stabilizing the protein.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.955141
pNuLoCRegion	1...42
