UniprotID	Q8WYL5-5
Accession	Q8WYL5;Q6P6C0;Q8N9A7;Q8WYL3;Q8WYL4;Q9P2P8
EntryName	SSH1_HUMAN
ProteinName	Protein phosphatase Slingshot homolog 1 (EC 3.1.3.16) (EC 3.1.3.48) (SSH-like protein 1) (SSH-1L) (hSSH-1L)
GeneName	SSH1 KIAA1298 SSH1L
Length	703
Function	Protein phosphatase which regulates actin filament dynamics. Dephosphorylates and activates the actin binding/depolymerizing factor cofilin, which subsequently binds to actin filaments and stimulates their disassembly. Inhibitory phosphorylation of cofilin is mediated by LIMK1, which may also be dephosphorylated and inactivated by this protein.
Subcellular Location	Cytoplasm; Cytoskeleton; Cell projection; Lamellipodium; Cleavage furrow; Midbody
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7889582
pNuLoCRegion	52...74;190...194;215...231;685...697
