UniprotID	Q9NVH2-2
Accession	Q9NVH2;B4DLZ6;B7WNP6;B7WPB6;Q8N4K7;Q8WUH5;Q9H9V3;Q9NVU5;Q9UFC6;Q9UFM3
EntryName	INT7_HUMAN
ProteinName	Integrator complex subunit 7 (Int7)
GeneName	INTS7 C1orf73
Length	948
Function	Component of the integrator complex, a multiprotein complex that terminates RNA polymerase II (Pol II) transcription in the promoter-proximal region of genes (PubMed:33243860, PubMed:38570683). The integrator complex provides a quality checkpoint during transcription elongation by driving premature transcription termination of transcripts that are unfavorably configured for transcriptional elongation: the complex terminates transcription by (1) catalyzing dephosphorylation of the C-terminal domain (CTD) of Pol II subunit POLR2A/RPB1 and SUPT5H/SPT5, (2) degrading the exiting nascent RNA transcript via endonuclease activity and (3) promoting the release of Pol II from bound DNA (PubMed:33243860, PubMed:38570683). The integrator complex is also involved in terminating the synthesis of non-coding Pol II transcripts, such as enhancer RNAs (eRNAs), small nuclear RNAs (snRNAs), telomerase RNAs and long non-coding RNAs (lncRNAs) (PubMed:16239144). May be not involved in the recruitment of cytoplasmic dynein to the nuclear envelope by different components of the INT complex (PubMed:23904267). Plays a role in DNA damage response (DDR) signaling during the S phase (PubMed:21659603).
Subcellular Location	Nucleus; Chromosome; Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.44198108
pNuLoCRegion	22...35;209...232;301...304
