UniprotID	Q9UJW7-2
Accession	Q9UJW7;B2RWN3;Q59FV2;Q86WL9
EntryName	ZN229_HUMAN
ProteinName	Zinc finger protein 229
GeneName	ZNF229
Length	819
Function	May be involved in transcriptional regulation.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9665363
pNuLoCRegion	8...38;234...249;314...320;373...418;431...482;502...536;559...603;618...646;657...659;663...710;725...755;763...797
