UniprotID	Q9HCX4-2
Accession	Q9HCX4;A1A4Z4;F5H5U9;Q70T26;Q8IWP7
EntryName	TRPC7_HUMAN
ProteinName	Short transient receptor potential channel 7 (TrpC7) (Transient receptor protein 7) (TRP-7) (hTRP7)
GeneName	TRPC7 TRP7
Length	746
Function	Forms a receptor-activated non-selective calcium permeant cation channel. Probably is operated by a phosphatidylinositol second messenger system activated by receptor tyrosine kinases or G-protein coupled receptors. Activated by diacylglycerol (DAG) (By similarity). May also be activated by intracellular calcium store depletion.
Subcellular Location	Cell membrane; Nucleus envelope
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.0062987357
pNuLoCRegion	
