UniprotID	Q9HBX8-1
Accession	Q9HBX8;Q5T509;Q5T512;Q6UY15;Q86VU0;Q96K69;Q9BYD7
EntryName	LGR6_HUMAN
ProteinName	Leucine-rich repeat-containing G-protein coupled receptor 6
GeneName	LGR6 UNQ6427/PRO21331 VTS20631
Length	828
Function	Receptor for R-spondins that potentiates the canonical Wnt signaling pathway and acts as a marker of multipotent stem cells in the epidermis. Upon binding to R-spondins (RSPO1, RSPO2, RSPO3 or RSPO4), associates with phosphorylated LRP6 and frizzled receptors that are activated by extracellular Wnt receptors, triggering the canonical Wnt signaling pathway to increase expression of target genes. In contrast to classical G-protein coupled receptors, does not activate heterotrimeric G-proteins to transduce the signal. May act as a tumor suppressor.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.2136564
pNuLoCRegion	83...100
