UniprotID	Q9NP78-2
Accession	Q9NP78;B4E2J0;Q5W9G7;Q769F3;Q769F4;Q96AB1;Q9P208
EntryName	ABCB9_HUMAN
ProteinName	ABC-type oligopeptide transporter ABCB9 (EC 7.4.2.6) (ATP-binding cassette sub-family B member 9) (ATP-binding cassette transporter 9) (ABC transporter 9 protein) (hABCB9) (TAP-like protein) (TAPL)
GeneName	ABCB9 KIAA1520
Length	723
Function	ATP-dependent low-affinity peptide transporter which translocates a broad spectrum of peptides from the cytosol to the lysosomal lumen for degradation (PubMed:15863492, PubMed:17977821, PubMed:18434309, PubMed:22641697, PubMed:25646430, PubMed:30353140, PubMed:30877195, PubMed:31417173). Displays a broad peptide length specificity from 6-mer up to at least 59-mer peptides with an optimum of 23-mers (PubMed:15863492, PubMed:25646430). Binds and transports smaller and larger peptides with the same affinity (PubMed:31417173). Favors positively charged, aromatic or hydrophobic residues in the N- and C-terminal positions whereas negatively charged residues as well as asparagine and methionine are not favored (PubMed:15863492, PubMed:17977821, PubMed:18434309).
Subcellular Location	Lysosome membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.0034067302
pNuLoCRegion	
