UniprotID	A2VDJ0-5
Accession	A2VDJ0;B3KRV3;D3DP10;Q7LGA7;Q86Y92;Q8WU56;Q9H065;Q9Y2D7
EntryName	T131L_HUMAN
ProteinName	Transmembrane protein 131-like
GeneName	TMEM131L KIAA0922
Length	1610
Function	Membrane-associated form that antagonizes canonical Wnt signaling by triggering lysosome-dependent degradation of Wnt-activated LRP6. Regulates thymocyte proliferation.
Subcellular Location	Cell membrane; Cytoplasm; Endoplasmic reticulum; Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.11945705
pNuLoCRegion	
