UniprotID	Q2KHT3-2
Accession	Q2KHT3;O15058;Q6ZTB2
EntryName	CL16A_HUMAN
ProteinName	Protein CLEC16A (C-type lectin domain family 16 member A)
GeneName	CLEC16A KIAA0350
Length	906
Function	Regulator of mitophagy through the upstream regulation of the RNF41/NRDP1-PRKN pathway. Mitophagy is a selective form of autophagy necessary for mitochondrial quality control. The RNF41/NRDP1-PRKN pathway regulates autophagosome-lysosome fusion during late mitophagy. May protect RNF41/NRDP1 from proteasomal degradation, RNF41/NRDP1 which regulates proteasomal degradation of PRKN. Plays a key role in beta cells functions by regulating mitophagy/autophagy and mitochondrial health.
Subcellular Location	Endosome membrane; Lysosome membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.46400908
pNuLoCRegion	385...390;489...497
