UniprotID	Q53SF7-3
Accession	Q53SF7;A6NMZ3;Q6IQ33;Q7Z3I6;Q9BRH4;Q9UG88;Q9Y2I3
EntryName	COBL1_HUMAN
ProteinName	Cordon-bleu protein-like 1
GeneName	COBLL1 KIAA0977
Length	1166
Function	
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8968809
pNuLoCRegion	248...264;285...304;322...377;400...404
