UniprotID	Q96Q05-3
Accession	Q96Q05;Q4VTT3;Q658K7;Q6P149;Q6ZQT3;Q7L5C4;Q86Y21;Q96SL2;Q9BQA2
EntryName	TPPC9_HUMAN
ProteinName	Trafficking protein particle complex subunit 9 (NIK- and IKBKB-binding protein) (Tularik gene 1 protein)
GeneName	TRAPPC9 KIAA1882 NIBP T1
Length	1139
Function	Functions as an activator of NF-kappa-B through increased phosphorylation of the IKK complex. May function in neuronal cells differentiation. May play a role in vesicular transport from endoplasmic reticulum to Golgi.
Subcellular Location	Golgi apparatus; cis-Golgi network; Endoplasmic reticulum; Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.35830525
pNuLoCRegion	25...28;202...228
