UniprotID	Q5VWP3-4
Accession	Q5VWP3;B7Z2N0;D6RE05;Q96H08;Q96NF7
EntryName	MLIP_HUMAN
ProteinName	Muscular LMNA-interacting protein (Cardiac Isl1-interacting protein) (CIP) (Muscular-enriched A-type laminin-interacting protein)
GeneName	MLIP C6orf142 Cip
Length	915
Function	Required for myoblast differentiation into myotubes, possibly acting as a transcriptional regulator of the myogenic program (By similarity). Required for cardiac adaptation to stress through integrated regulation of the AKT/mTOR pathways and FOXO1. Regulates cardiac homeostasis and plays a role in the protection against cardiac hypertrophy (By similarity). Binds chromatin (By similarity). May act as a transcriptional cofactor for ISL1, repressing its transcriptional activity (By similarity). May also repress MYOCD transcriptional activity (By similarity).
Subcellular Location	Nucleus; Nucleus envelope; Nucleus; PML body; Cytoplasm; Cytosol; Cell membrane; Sarcolemma
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8118973
pNuLoCRegion	11...18
