UniprotID	Q9Y6X9-2
Accession	Q9Y6X9;B2RNB1;Q9UF28;Q9Y6V2
EntryName	MORC2_HUMAN
ProteinName	ATPase MORC2 (EC 3.6.1.-) (MORC family CW-type zinc finger protein 2) (Zinc finger CW-type coiled-coil domain protein 1)
GeneName	MORC2 KIAA0852 ZCWCC1
Length	970
Function	Essential for epigenetic silencing by the HUSH (human silencing hub) complex. Recruited by HUSH to target site in heterochromatin, the ATPase activity and homodimerization are critical for HUSH-mediated silencing (PubMed:28581500, PubMed:29440755, PubMed:32693025). Represses germ cell-related genes and L1 retrotransposons in collaboration with SETDB1 and the HUSH complex, the silencing is dependent of repressive epigenetic modifications, such as H3K9me3 mark. Silencing events often occur within introns of transcriptionally active genes, and lead to the down-regulation of host gene expression (PubMed:29211708). During DNA damage response, regulates chromatin remodeling through ATP hydrolysis. Upon DNA damage, is phosphorylated by PAK1, both colocalize to chromatin and induce H2AX expression. ATPase activity is required and dependent of phosphorylation by PAK1 and presence of DNA (PubMed:23260667). Recruits histone deacetylases, such as HDAC4, to promoter regions, causing local histone H3 deacetylation and transcriptional repression of genes such as CA9 (PubMed:20110259, PubMed:20225202). Exhibits a cytosolic function in lipogenesis, adipogenic differentiation, and lipid homeostasis by increasing the activity of ACLY, possibly preventing its dephosphorylation (PubMed:24286864).
Subcellular Location	Nucleus; Cytoplasm; Cytosol; Chromosome; Nucleus matrix
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.88943833
pNuLoCRegion	1...21
