UniprotID	Q96GX5-2
Accession	Q96GX5;Q5T8D5;Q5T8D7;Q8NCD6;Q96SJ5
EntryName	GWL_HUMAN
ProteinName	Serine/threonine-protein kinase greatwall (GW) (GWL) (hGWL) (EC 2.7.11.1) (Microtubule-associated serine/threonine-protein kinase-like) (MAST-L)
GeneName	MASTL GW GWL THC2
Length	840
Function	Serine/threonine kinase that plays a key role in M phase by acting as a regulator of mitosis entry and maintenance (PubMed:19680222). Acts by promoting the inactivation of protein phosphatase 2A (PP2A) during M phase: does not directly inhibit PP2A but acts by mediating phosphorylation and subsequent activation of ARPP19 and ENSA at 'Ser-62' and 'Ser-67', respectively (PubMed:38123684). ARPP19 and ENSA are phosphatase inhibitors that specifically inhibit the PPP2R2D (PR55-delta) subunit of PP2A. Inactivation of PP2A during M phase is essential to keep cyclin-B1-CDK1 activity high (PubMed:20818157). Following DNA damage, it is also involved in checkpoint recovery by being inhibited. Phosphorylates histone protein in vitro; however such activity is unsure in vivo. May be involved in megakaryocyte differentiation.
Subcellular Location	Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Nucleus; Cleavage furrow
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9614206
pNuLoCRegion	9...23;99...114;295...317;697...712
