UniprotID	Q9BQS7-4
Accession	Q9BQS7;B1AJX8;D3DVT7;E9PHN8;O75180;Q6UW45;Q9C058
EntryName	HEPH_HUMAN
ProteinName	Hephaestin (Hp) (EC 1.16.3.1)
GeneName	HEPH KIAA0698 UNQ2562/PRO6242
Length	891
Function	Plasma membrane ferroxidase that mediates the extracellular conversion of ferrous/Fe(2+) iron into its ferric/Fe(3+) form. Couples ferroportin which specifically exports ferrous/Fe(2+) iron from cells to transferrin that only binds and shuttles extracellular ferric/Fe(3+) iron throughout the body (PubMed:22961397, PubMed:37277838). By helping iron transfer from cells to blood mainly contributes to dietary iron absorption by the intestinal epithelium and more generally regulates iron levels in the body (By similarity).
Subcellular Location	Basolateral cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.29558593
pNuLoCRegion	39...71
