UniprotID	Q8N1W1-5
Accession	Q8N1W1;B2RXG7;B4E3K4;B5MDA3;B7ZW32;E9PC75;Q8NCM7;Q96E37;Q9H6L3;Q9H6W0
EntryName	ARG28_HUMAN
ProteinName	Rho guanine nucleotide exchange factor 28 (190 kDa guanine nucleotide exchange factor) (p190-RhoGEF) (p190RhoGEF) (Rho guanine nucleotide exchange factor)
GeneName	ARHGEF28 KIAA1998 RGNEF
Length	1392
Function	Functions as a RHOA-specific guanine nucleotide exchange factor regulating signaling pathways downstream of integrins and growth factor receptors. Functions in axonal branching, synapse formation and dendritic morphogenesis. Also functions in focal adhesion formation, cell motility and B-lymphocytes activation. May regulate NEFL expression and aggregation and play a role in apoptosis (By similarity).
Subcellular Location	Cytoplasm; Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.709047
pNuLoCRegion	25...37
