UniprotID	Q14D04-2
Accession	Q14D04;D3DNL0;F5GZ91;Q2TAA9;Q3MIX2;Q6PEL3;Q86TL5;Q8TCR3;Q96SP7;Q9C0H1;Q9H9Q7
EntryName	MELT_HUMAN
ProteinName	Ventricular zone-expressed PH domain-containing protein homolog 1 (Protein melted)
GeneName	VEPH1 KIAA1692 VEPH
Length	788
Function	Interacts with TGF-beta receptor type-1 (TGFBR1) and inhibits dissociation of activated SMAD2 from TGFBR1, impeding its nuclear accumulation and resulting in impaired TGF-beta signaling. May also affect FOXO, Hippo and Wnt signaling.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.69385475
pNuLoCRegion	10...39
