UniprotID	Q33E94-2
Accession	Q33E94;A8K5Y0;B2RDW4;Q33DW6;Q33DW7;Q33E95;Q6YM53;Q8MHQ1;Q8NC78;Q8NDF9;Q8SNA1;Q96S80;Q9BXI0
EntryName	RFX4_HUMAN
ProteinName	Transcription factor RFX4 (Regulatory factor X 4) (Testis development protein NYD-SP10)
GeneName	RFX4
Length	744
Function	Transcription factor that plays a role in early brain development. May activate transcription by interacting directly with the X-box. May activate transcription from CX3CL1 promoter through the X-box during brain development. May be required for neural tube ciliogenesis during embryogenesis (By similarity).
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.6082152
pNuLoCRegion	25...33;438...454;476...494
