UniprotID	Q9ULT6-2
Accession	Q9ULT6;B3KU18;Q6ICH1;Q6NTF8;Q8WU18
EntryName	ZNRF3_HUMAN
ProteinName	E3 ubiquitin-protein ligase ZNRF3 (EC 2.3.2.27) (RING finger protein 203) (RING-type E3 ubiquitin transferase ZNRF3) (Zinc/RING finger protein 3)
GeneName	ZNRF3 KIAA1133 RNF203
Length	836
Function	E3 ubiquitin-protein ligase that acts as a negative regulator of the Wnt signaling pathway by mediating the ubiquitination and subsequent degradation of Wnt receptor complex components Frizzled and LRP6. Acts on both canonical and non-canonical Wnt signaling pathway. Acts as a tumor suppressor in the intestinal stem cell zone by inhibiting the Wnt signaling pathway, thereby restricting the size of the intestinal stem cell zone (PubMed:22575959). Along with RSPO2 and RNF43, constitutes a master switch that governs limb specification (By similarity).
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.16954452
pNuLoCRegion	26...37;64...70
