UniprotID	Q7Z5L2-2
Accession	Q7Z5L2;O60598;Q5W0B4;Q5W0B5;Q86VT9;Q8N9H0
EntryName	R3HCL_HUMAN
ProteinName	Coiled-coil domain-containing protein R3HCC1L (Growth inhibition and differentiation-related protein 88) (Putative mitochondrial space protein 32.1) (R3H and coiled-coil domain-containing protein 1-like)
GeneName	R3HCC1L C10orf28 GIDRP88
Length	778
Function	
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.6743156
pNuLoCRegion	
