UniprotID	Q76LX8-3
Accession	Q76LX8;Q6UY16;Q710F6;Q711T8;Q96L37;Q9H0G3;Q9UGQ1
EntryName	ATS13_HUMAN
ProteinName	A disintegrin and metalloproteinase with thrombospondin motifs 13 (ADAM-TS 13) (ADAM-TS13) (ADAMTS-13) (EC 3.4.24.87) (von Willebrand factor-cleaving protease) (vWF-CP) (vWF-cleaving protease)
GeneName	ADAMTS13 C9orf8 UNQ6102/PRO20085
Length	1340
Function	Cleaves the vWF multimers in plasma into smaller forms thereby controlling vWF-mediated platelet thrombus formation.
Subcellular Location	Secreted
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.61069614
pNuLoCRegion	39...45;59...97;868...868;956...972
