UniprotID	Q96BJ8-3
Accession	Q96BJ8;B4DV86;Q9H8A5
EntryName	ELMO3_HUMAN
ProteinName	Engulfment and cell motility protein 3
GeneName	ELMO3
Length	773
Function	Involved in cytoskeletal rearrangements required for phagocytosis of apoptotic cells and cell motility. Acts in association with DOCK1 and CRK. Was initially proposed to be required in complex with DOCK1 to activate Rac Rho small GTPases. May enhance the guanine nucleotide exchange factor (GEF) activity of DOCK1 (By similarity).
Subcellular Location	Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.6975499
pNuLoCRegion	11...19;45...77
