UniprotID	Q9NV70-2
Accession	Q9NV70;Q504V4;Q8WUE7;Q96T15;Q9NZE4
EntryName	EXOC1_HUMAN
ProteinName	Exocyst complex component 1 (Exocyst complex component Sec3)
GeneName	EXOC1 SEC3 SEC3L1 BM-012
Length	879
Function	Component of the exocyst complex involved in the docking of exocytic vesicles with fusion sites on the plasma membrane.
Subcellular Location	Midbody; Midbody ring; Cytoplasm; Cytoplasm; Perinuclear region; Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.62302536
pNuLoCRegion	41...48
