UniprotID	Q8TCG5-2
Accession	Q8TCG5;A8K0Z8;Q5K6N5;Q8N6Q9;Q8NDS6;Q8TE84
EntryName	CPT1C_HUMAN
ProteinName	Palmitoyl thioesterase CPT1C (EC 3.1.2.22) (Carnitine O-palmitoyltransferase 1, brain isoform) (CPTI-B) (Carnitine palmitoyltransferase 1C) (Carnitine palmitoyltransferase I) (CPT I-C)
GeneName	CPT1C CATL1
Length	792
Function	Palmitoyl thioesterase specifically expressed in the endoplasmic reticulum of neurons. Modulates the trafficking of the glutamate receptor, AMPAR, to plasma membrane through depalmitoylation of GRIA1 (PubMed:30135643). Also regulates AMPR trafficking through the regulation of SACM1L phosphatidylinositol-3-phosphatase activity by interaction in a malonyl-CoA dependent manner (By similarity). Binds malonyl-CoA and couples malonyl-CoA to ceramide levels, necessary for proper spine maturation and contributing to systemic energy homeostasis and appetite control (PubMed:16651524). Binds to palmitoyl-CoA, but does not have carnitine palmitoyltransferase 1 catalytic activity or at very low levels (PubMed:25751282, PubMed:30135643).
Subcellular Location	Cell projection; Dendrite; Cell projection; Axon; Endoplasmic reticulum membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.02356383
pNuLoCRegion	
