UniprotID	Q9UP95-7
Accession	Q9UP95;B4DF69;B4DR04;B4DZ82;B7ZAV0;F5H066;F5H0S9;F5H3C0;O60632;O75893;Q13953;Q96LD5
EntryName	S12A4_HUMAN
ProteinName	Solute carrier family 12 member 4 (Electroneutral potassium-chloride cotransporter 1) (Erythroid K-Cl cotransporter 1) (hKCC1)
GeneName	SLC12A4 KCC1
Length	1087
Function	Mediates electroneutral potassium-chloride cotransport when activated by cell swelling (PubMed:35759661). May contribute to cell volume homeostasis in single cells (PubMed:10913127, PubMed:34031912). May be involved in the regulation of basolateral Cl(-) exit in NaCl absorbing epithelia (By similarity).
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.030648861
pNuLoCRegion	
