UniprotID	Q5R372-4
Accession	Q5R372;O75059;Q3ZTR8;Q5R369;Q8IVV0;Q8N921;Q8WV78;Q9NSP8;Q9UQ19;Q9UQP5;Q9Y6Y5;Q9Y6Y6
EntryName	RBG1L_HUMAN
ProteinName	Rab GTPase-activating protein 1-like
GeneName	RABGAP1L HHL KIAA0471
Length	800
Function	GTP-hydrolysis activating protein (GAP) for small GTPase RAB22A, converting active RAB22A-GTP to the inactive form RAB22A-GDP (PubMed:16923123). Plays a role in endocytosis and intracellular protein transport. Recruited by ANK2 to phosphatidylinositol 3-phosphate (PI3P)-positive early endosomes, where it inactivates RAB22A, and promotes polarized trafficking to the leading edge of the migrating cells. Part of the ANK2/RABGAP1L complex which is required for the polarized recycling of fibronectin receptor ITGA5 ITGB1 to the plasma membrane that enables continuous directional cell migration (By similarity).
Subcellular Location	Cytoplasmic vesicle; Early endosome; Golgi apparatus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.3853921
pNuLoCRegion	29...33;105...117
