UniprotID	Q8IXF0-4
Accession	Q8IXF0;Q86US6;Q86US7;Q8IXF2;Q9BY81;Q9H323;Q9Y4L8
EntryName	NPAS3_HUMAN
ProteinName	Neuronal PAS domain-containing protein 3 (Neuronal PAS3) (Basic-helix-loop-helix-PAS protein MOP6) (Class E basic helix-loop-helix protein 12) (bHLHe12) (Member of PAS protein 6) (PAS domain-containing protein 6)
GeneName	NPAS3 BHLHE12 MOP6 PASD6
Length	901
Function	May play a broad role in neurogenesis. May control regulatory pathways relevant to schizophrenia and to psychotic illness (By similarity).
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8211097
pNuLoCRegion	563...587
