UniprotID	Q86UW7-2
Accession	Q86UW7;A4D0X3;B7ZM56;Q658Q2;Q7Z5T7;Q8IZW9;Q8N7M4;Q9H6P4;Q9HCI1;Q9NWK8
EntryName	CAPS2_HUMAN
ProteinName	Calcium-dependent secretion activator 2 (Calcium-dependent activator protein for secretion 2) (CAPS-2)
GeneName	CADPS2 CAPS2 KIAA1591
Length	1255
Function	Calcium-binding protein involved in exocytosis of vesicles filled with neurotransmitters and neuropeptides. Probably acts upstream of fusion in the biogenesis or maintenance of mature secretory vesicles. Regulates neurotrophin release from granule cells leading to regulate cell differentiation and survival during cerebellar development. May specifically mediate the Ca(2+)-dependent exocytosis of large dense-core vesicles (DCVs) and other dense-core vesicles (By similarity).
Subcellular Location	Cytoplasmic vesicle membrane; Synapse; Cell projection; Cilium; Cytoplasm; Cytoskeleton; Cilium basal body; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.33876598
pNuLoCRegion	
