UniprotID	Q6NWY9-3
Accession	Q6NWY9;O75401;Q6PI09;Q6ZWB3;Q8NCZ1;Q9H5G4;Q9NT95
EntryName	PR40B_HUMAN
ProteinName	Pre-mRNA-processing factor 40 homolog B (Huntingtin yeast partner C) (Huntingtin-interacting protein C)
GeneName	PRPF40B HYPC
Length	870
Function	May be involved in pre-mRNA splicing.
Subcellular Location	Nucleus speckle
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9599117
pNuLoCRegion	9...36;728...742;776...813
