UniprotID	Q8NHM5-4
Accession	Q8NHM5;A8MRS1;Q1RLM7;Q8NCI2;Q96HC7;Q96SL0;Q96T03;Q9NS96;Q9UF75
EntryName	KDM2B_HUMAN
ProteinName	Lysine-specific demethylase 2B (EC 1.14.11.27) (CXXC-type zinc finger protein 2) (F-box and leucine-rich repeat protein 10) (F-box protein FBL10) (F-box/LRR-repeat protein 10) (JmjC domain-containing histone demethylation protein 1B) (Jumonji domain-containing EMSY-interactor methyltransferase motif protein) (Protein JEMMA) (Protein-containing CXXC domain 2) ([Histone-H3]-lysine-36 demethylase 1B)
GeneName	KDM2B CXXC2 FBL10 FBXL10 JHDM1B NDY1 PCCX2
Length	1265
Function	Histone demethylase that demethylates 'Lys-4' and 'Lys-36' of histone H3, thereby playing a central role in histone code (PubMed:16362057, PubMed:17994099, PubMed:26237645). Preferentially demethylates trimethylated H3 'Lys-4' and dimethylated H3 'Lys-36' residue while it has weak or no activity for mono- and tri-methylated H3 'Lys-36' (PubMed:16362057, PubMed:17994099, PubMed:26237645). Preferentially binds the transcribed region of ribosomal RNA and represses the transcription of ribosomal RNA genes which inhibits cell growth and proliferation (PubMed:16362057, PubMed:17994099). May also serve as a substrate-recognition component of the SCF (SKP1-CUL1-F-box protein)-type E3 ubiquitin ligase complex (Probable).
Subcellular Location	Nucleus; Nucleolus; Nucleus; Chromosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.95333207
pNuLoCRegion	24...32;580...610;766...790;800...829;866...888
