UniprotID	Q7Z3J2-2
Accession	Q7Z3J2;A8K2M1;O43329;Q69YI1;Q6PDA0;Q7L371;Q86W66;Q8WXA5;Q9H0L7;Q9H7C8
EntryName	VP35L_HUMAN
ProteinName	VPS35 endosomal protein-sorting factor-like (Esophageal cancer-associated protein)
GeneName	VPS35L C16orf62 101F10.2
Length	813
Function	Acts as a component of the retriever complex. The retriever complex is a heterotrimeric complex related to retromer cargo-selective complex (CSC) and essential for retromer-independent retrieval and recycling of numerous cargos such as integrin alpha-5/beta-1 (ITGA5:ITGB1) (PubMed:28892079). The recruitment of the retriever complex to the endosomal membrane involves CCC and WASH complexes (PubMed:28892079). In the endosomes, drives the retrieval and recycling of NxxY-motif-containing cargo proteins by coupling to SNX17, a cargo essential for the homeostatic maintenance of numerous cell surface proteins associated with processes that include cell migration, cell adhesion, nutrient supply and cell signaling (PubMed:28892079). Involved in copper-dependent ATP7A trafficking between the trans-Golgi network and vesicles in the cell periphery; the function is proposed to depend on its association with the CCC complex and cooperation with the WASH complex on early endosomes. Seems not to be required for CCC complex stability (PubMed:25355947).
Subcellular Location	Membrane; Endosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.755186
pNuLoCRegion	1...17;37...44
