UniprotID	Q9ULE3-2
Accession	Q9ULE3;C9JUI3;Q1RMD5;Q86XY0
EntryName	DEN2A_HUMAN
ProteinName	DENN domain-containing protein 2A
GeneName	DENND2A KIAA1277
Length	795
Function	Guanine nucleotide exchange factor (GEF) which may activate RAB9A and RAB9B. Promotes the exchange of GDP to GTP, converting inactive GDP-bound Rab proteins into their active GTP-bound form. May play a role in late endosomes back to trans-Golgi network/TGN transport.
Subcellular Location	Cytoplasm; Cytoskeleton
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8890916
pNuLoCRegion	
