UniprotID	Q86UU1-2
Accession	Q86UU1;B0YJ63;B0YJ64;O75133;Q4KMF8;Q8TEQ2
EntryName	PHLB1_HUMAN
ProteinName	Pleckstrin homology-like domain family B member 1 (Protein LL5-alpha)
GeneName	PHLDB1 KIAA0638 LL5A DLNB07
Length	1319
Function	
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.113022976
pNuLoCRegion	
