UniprotID	Q7Z6G8-6
Accession	Q7Z6G8;A5PKY5;A7E259;A8K153;A8MSN4;B4DFP6;B4DH98;F8VPM3;F8VZR9;F8WC27;Q5XLJ0;Q6IVB5;Q6NUS4;Q7Z6G6;Q7Z6G7;Q8TAP3;Q9NRX7;Q9Y5K9
EntryName	ANS1B_HUMAN
ProteinName	Ankyrin repeat and sterile alpha motif domain-containing protein 1B (Amyloid-beta protein intracellular domain-associated protein 1) (AIDA-1) (E2A-PBX1-associated protein) (EB-1)
GeneName	ANKS1B
Length	764
Function	Isoform 2 may participate in the regulation of nucleoplasmic coilin protein interactions in neuronal and transformed cells.
Subcellular Location	Cytoplasm; Nucleus; Postsynaptic density; Cell projection; Dendritic spine; Nucleus; Nucleus; Cajal body; Nucleus; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.6336786
pNuLoCRegion	16...37
