UniprotID	Q5SW79-3
Accession	Q5SW79;O75058;Q5SW77;Q5SW78;Q7LGA9;Q86W31;Q9UQ08;Q9UQ09
EntryName	CE170_HUMAN
ProteinName	Centrosomal protein of 170 kDa (Cep170) (KARP-1-binding protein) (KARP1-binding protein)
GeneName	CEP170 FAM68A KAB KIAA0470
Length	1486
Function	Plays a role in microtubule organization (PubMed:15616186). Required for centriole subdistal appendage assembly (PubMed:28422092).
Subcellular Location	Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Centriole; Cytoplasm; Cytoskeleton; Spindle
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.24675249
pNuLoCRegion	
