UniprotID	Q5T0F9-2
Accession	Q5T0F9;Q49AE8;Q5T0F8;Q5T0G0;Q6ZNQ1;Q96AP3;Q96I04;Q96JJ1
EntryName	C2D1B_HUMAN
ProteinName	Coiled-coil and C2 domain-containing protein 1B (Five prime repressor element under dual repression-binding protein 2) (FRE under dual repression-binding protein 2) (Freud-2)
GeneName	CC2D1B KIAA1836 LGD1
Length	852
Function	Transcription factor that binds specifically to the DRE (dual repressor element) and represses HTR1A gene transcription in neuronal cells.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8184412
pNuLoCRegion	29...45;201...206;209...225
