UniprotID	Q96RU2-2
Accession	Q96RU2;B0YJC0;B0YJC1;Q6NZX9;Q9P213
EntryName	UBP28_HUMAN
ProteinName	Ubiquitin carboxyl-terminal hydrolase 28 (EC 3.4.19.12) (Deubiquitinating enzyme 28) (Ubiquitin thioesterase 28) (Ubiquitin-specific-processing protease 28)
GeneName	USP28 KIAA1515
Length	1045
Function	Deubiquitinase involved in DNA damage response checkpoint and MYC proto-oncogene stability. Involved in DNA damage induced apoptosis by specifically deubiquitinating proteins of the DNA damage pathway such as CLSPN. Also involved in G2 DNA damage checkpoint, by deubiquitinating CLSPN, and preventing its degradation by the anaphase promoting complex/cyclosome (APC/C). In contrast, it does not deubiquitinate PLK1. Specifically deubiquitinates MYC in the nucleoplasm, leading to prevent MYC degradation by the proteasome: acts by specifically interacting with isoform 1 of FBXW7 (FBW7alpha) in the nucleoplasm and counteracting ubiquitination of MYC by the SCF(FBW7) complex. In contrast, it does not interact with isoform 4 of FBXW7 (FBW7gamma) in the nucleolus, allowing MYC degradation and explaining the selective MYC degradation in the nucleolus. Deubiquitinates ZNF304, hence preventing ZNF304 degradation by the proteasome and leading to the activated KRAS-mediated promoter hypermethylation and transcriptional silencing of tumor suppressor genes (TSGs) in a subset of colorectal cancers (CRC) cells (PubMed:24623306).
Subcellular Location	Nucleus; Nucleoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9546212
pNuLoCRegion	4...41;104...117;132...155;808...816;843...851
