UniprotID	Q8IYH5-2
Accession	Q8IYH5;B7WPC6;Q6N004;Q6N070;Q8IYP0;Q8IYR1;Q8TEK4;Q9Y4U0
EntryName	ZZZ3_HUMAN
ProteinName	ZZ-type zinc finger-containing protein 3
GeneName	ZZZ3
Length	902
Function	Histone H3 reader that is required for the ATAC complex-mediated maintenance of histone acetylation and gene activation (PubMed:30217978). Component of the ATAC complex, a complex with histone acetyltransferase activity on histones H3 and H4 (PubMed:19103755).
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.48837122
pNuLoCRegion	84...106;131...146
