UniprotID	P0DPD6-3
Accession	P0DPD6;A5PLK8;O60344;Q6NTG7;Q6UW36;Q8NFD7;Q96NX3;Q96NX4;Q9BRZ8
EntryName	ECE2_HUMAN
ProteinName	Endothelin-converting enzyme 2 (ECE-2) (EC 3.4.24.71)
GeneName	ECE2 KIAA0604 UNQ403/PRO740
Length	736
Function	Converts big endothelin-1 to endothelin-1. Also involved in the processing of various neuroendocrine peptides, including neurotensin, angiotensin I, substance P, proenkephalin-derived peptides, and prodynorphin-derived peptides. May play a role in amyloid-beta processing (By similarity).
Subcellular Location	Golgi apparatus membrane; Cytoplasmic vesicle; Secretory vesicle membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.029404057
pNuLoCRegion	
