UniprotID	Q9BXT4-4
Accession	Q9BXT4;A6NEN3;A6NMN2;B3KVI4;B4E2L5;D3DRC2;Q4G0Y8;Q6P518;Q9H7B3
EntryName	TDRD1_HUMAN
ProteinName	Tudor domain-containing protein 1 (Cancer/testis antigen 41.1) (CT41.1)
GeneName	TDRD1
Length	708
Function	Plays a central role during spermatogenesis by participating in the repression transposable elements and preventing their mobilization, which is essential for the germline integrity. Acts via the piRNA metabolic process, which mediates the repression of transposable elements during meiosis by forming complexes composed of piRNAs and Piwi proteins and governs the methylation and subsequent repression of transposons. Required for the localization of Piwi proteins to the meiotic nuage. Involved in the piRNA metabolic process by ensuring the entry of correct transcripts into the normal piRNA pool and limiting the entry of cellular transcripts into the piRNA pathway. May act by allowing the recruitment of piRNA biogenesis or loading factors that ensure the correct entry of transcripts and piRNAs into Piwi proteins (By similarity).
Subcellular Location	Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.36384007
pNuLoCRegion	
