UniprotID	Q641Q2-2
Accession	Q641Q2;A2A3S2;A2A3U6;Q5SNT6;Q6DHY0
EntryName	WAC2A_HUMAN
ProteinName	WASH complex subunit 2A
GeneName	WASHC2A FAM21A FAM21B
Length	1320
Function	Acts at least in part as component of the WASH core complex whose assembly at the surface of endosomes inhibits WASH nucleation-promoting factor (NPF) activity in recruiting and activating the Arp2/3 complex to induce actin polymerization and is involved in the fission of tubules that serve as transport intermediates during endosome sorting. Mediates the recruitment of the WASH core complex to endosome membranes via binding to phospholipids and VPS35 of the retromer CSC. Mediates the recruitment of the F-actin-capping protein dimer to the WASH core complex probably promoting localized F-actin polymerization needed for vesicle scission. Via its C-terminus binds various phospholipids, most strongly phosphatidylinositol 4-phosphate (PtdIns-(4)P), phosphatidylinositol 5-phosphate (PtdIns-(5)P) and phosphatidylinositol 3,5-bisphosphate (PtdIns-(3,5)P2). Involved in the endosome-to-plasma membrane trafficking and recycling of SNX27-retromer-dependent cargo proteins, such as GLUT1. Required for the association of DNAJC13, ENTR1, ANKRD50 with retromer CSC subunit VPS35. Required for the endosomal recruitment of CCC complex subunits COMMD1 and CCDC93 as well as the retriever complex subunit VPS35L.
Subcellular Location	Early endosome membrane; Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8748339
pNuLoCRegion	1...24;51...59
