UniprotID	Q9NS62-2
Accession	Q9NS62;A2A3J3;B2RCF5;Q6P3U1;Q6UXZ2
EntryName	THSD1_HUMAN
ProteinName	Thrombospondin type-1 domain-containing protein 1 (Transmembrane molecule with thrombospondin module)
GeneName	THSD1 TMTSP UNQ3010/PRO9769
Length	799
Function	Is a positive regulator of nascent focal adhesion assembly, involved in the modulation of endothelial cell attachment to the extracellular matrix.
Subcellular Location	Endosome membrane; Cell junction; Focal adhesion; Membrane; Secreted
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.042632993
pNuLoCRegion	
