UniprotID	Q96QZ7-5
Accession	Q96QZ7;A8K188;O00309;O43863;O75085;Q96QZ8;Q96QZ9
EntryName	MAGI1_HUMAN
ProteinName	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 (Atrophin-1-interacting protein 3) (AIP-3) (BAI1-associated protein 1) (BAP-1) (Membrane-associated guanylate kinase inverted 1) (MAGI-1) (Trinucleotide repeat-containing gene 19 protein) (WW domain-containing protein 3) (WWP3)
GeneName	MAGI1 AIP3 BAIAP1 BAP1 TNRC19
Length	1287
Function	Plays a role in coupling actin fibers to cell junctions in endothelial cells, via its interaction with AMOTL2 and CDH5 (By similarity). May regulate acid-induced ASIC3 currents by modulating its expression at the cell surface (By similarity).
Subcellular Location	Cell junction; Tight junction; Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8834441
pNuLoCRegion	13...38
