UniprotID	Q5T6X5-2
Accession	Q5T6X5;Q6JK43;Q6JK44;Q8NGU8;Q8NHZ9;Q8TDT6
EntryName	GPC6A_HUMAN
ProteinName	G-protein coupled receptor family C group 6 member A (hGPRC6A) (G-protein coupled receptor GPCR33) (hGPCR33)
GeneName	GPRC6A
Length	751
Function	Receptor activated by multiple ligands, including osteocalcin (BGLAP), basic amino acids, and various cations (PubMed:15576628). Activated by amino acids with a preference for basic amino acids such as L-Lys, L-Arg and L-ornithine but also by small and polar amino acids (PubMed:15576628). The L-alpha amino acids respond is augmented by divalent cations Ca(2+) and Mg(2+) (By similarity). Seems to act through a G(q)/G(11) and G(i)-coupled pathway (By similarity). Regulates testosterone production by acting as a ligand for uncarboxylated osteocalcin hormone: osteocalcin-binding at the surface of Leydig cells initiates a signaling response that promotes the expression of enzymes required for testosterone synthesis in a CREB-dependent manner (By similarity). Mediates the non-genomic effects of androgens in multiple tissue (By similarity). May coordinate nutritional and hormonal anabolic signals through the sensing of extracellular amino acids, osteocalcin, divalent ions and its responsiveness to anabolic steroids (PubMed:20947496).
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.058913298
pNuLoCRegion	
