UniprotID	Q86SQ6-1
Accession	Q86SQ6;A5HL16;A6NG50;Q5T234;Q86SN7;Q96JJ9
EntryName	AGRA1_HUMAN
ProteinName	Adhesion G protein-coupled receptor A1 (G-protein coupled receptor 123)
GeneName	ADGRA1 GPR123 KIAA1828
Length	1279
Function	Orphan receptor.
Subcellular Location	Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.032239504
pNuLoCRegion	24...42;63...83;188...194;273...295
