UniprotID	Q8TE76-3
Accession	Q8TE76;A1YR23;A1YR24;H7BXF1;Q5JUK7;Q96MZ2;Q9HAI7
EntryName	MORC4_HUMAN
ProteinName	MORC family CW-type zinc finger protein 4 (Zinc finger CW-type coiled-coil domain protein 2) (Zinc finger CW-type domain protein 4)
GeneName	MORC4 ZCW4 ZCWCC2
Length	900
Function	Histone methylation reader which binds to non-methylated (H3K4me0), monomethylated (H3K4me1), dimethylated (H3K4me2) and trimethylated (H3K4me3) 'Lys-4' on histone H3 (PubMed:26933034). The order of binding preference is H3K4me3 > H3K4me2 > H3K4me1 > H3K4me0 (PubMed:26933034).
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.93756473
pNuLoCRegion	6...26;94...98;574...594
