UniprotID	Q9HAW7
Accession	Q9HAW7;B8K293;O00473
EntryName	UD17_HUMAN
ProteinName	UDP-glucuronosyltransferase 1A7 (UGT1A7) (EC 2.4.1.17) (UDP-glucuronosyltransferase 1-7) (UDPGT 1-7) (UGT1*7) (UGT1-07) (UGT1.7) (UDP-glucuronosyltransferase 1-G) (UGT-1G) (UGT1G)
GeneName	UGT1A7 GNT1 UGT1
Length	530
Function	UDP-glucuronosyltransferase (UGT) that catalyzes phase II biotransformation reactions in which lipophilic substrates are conjugated with glucuronic acid to increase the metabolite's water solubility, thereby facilitating excretion into either the urine or bile (PubMed:12181437, PubMed:15470161, PubMed:18004212, PubMed:18052087, PubMed:18674515, PubMed:18719240, PubMed:20610558, PubMed:23360619, PubMed:21422672, PubMed:38211441). Essential for the elimination and detoxification of drugs, xenobiotics and endogenous compounds (PubMed:12181437, PubMed:18004212). Catalyzes the glucuronidation of endogenous estrogen hormone epiestradiol (PubMed:18719240). Involved in the glucuronidation of F2-isoprostane (5-epi-5-F2t-IsoP) (PubMed:38211441). Involved in the glucuronidation of the phytochemical ferulic acid at the carboxylic acid group (PubMed:21422672). Also catalyzes the glucuronidation of the isoflavones genistein, daidzein, glycitein, formononetin, biochanin A and prunetin, which are phytoestrogens with anticancer and cardiovascular properties (PubMed:18052087). Involved in the glucuronidation of the AGTR1 angiotensin receptor antagonist caderastan, a drug which can inhibit the effect of angiotensin II (PubMed:18674515). Involved in the biotransformation of 7-ethyl-10-hydroxycamptothecin (SN-38), the pharmacologically active metabolite of the anticancer drug irinotecan (PubMed:12181437, PubMed:18004212, PubMed:20610558, PubMed:23360619). Also metabolizes mycophenolate, an immunosuppressive agent (PubMed:15470161).
Subcellular Location	Endoplasmic reticulum membrane
Disorder	0.0592,0.0306,0.0165,0.0138,0.0111,0.0091,0.0076,0.0066,0.0084,0.0076,0.0092,0.0070,0.0070,0.0070,0.0069,0.0069,0.0099,0.0070,0.0052,0.0057,0.0061,0.0061,0.0070,0.0104,0.0143,0.0205,0.0334,0.0294,0.0235,0.0231,0.0281,0.0287,0.0631,0.0506,0.0327,0.0463,0.0454,0.0253,0.0253,0.0253,0.0380,0.0592,0.0443,0.0676,0.0405,0.0258,0.0184,0.0134,0.0184,0.0473,0.0518,0.0424,0.0389,0.0214,0.0334,0.0281,0.0253,0.0248,0.0424,0.0414,0.0817,0.0454,0.0473,0.0320,0.0281,0.0454,0.0349,0.0531,0.0851,0.1070,0.0454,0.0424,0.0356,0.0424,0.0909,0.0888,0.1611,0.1611,0.1823,0.0909,0.1229,0.0734,0.0581,0.0433,0.0749,0.0592,0.0568,0.0568,0.0618,0.0463,0.0581,0.0618,0.0592,0.1028,0.0719,0.0294,0.0263,0.0148,0.0096,0.0092,0.0163,0.0202,0.0287,0.0734,0.0929,0.0473,0.0263,0.0281,0.0313,0.0146,0.0096,0.0086,0.0134,0.0090,0.0092,0.0102,0.0123,0.0075,0.0111,0.0191,0.0181,0.0188,0.0119,0.0092,0.0094,0.0066,0.0066,0.0102,0.0107,0.0163,0.0194,0.0191,0.0209,0.0160,0.0181,0.0097,0.0073,0.0104,0.0240,0.0111,0.0111,0.0097,0.0070,0.0097,0.0090,0.0062,0.0068,0.0084,0.0083,0.0057,0.0039,0.0050,0.0056,0.0059,0.0064,0.0064,0.0078,0.0069,0.0060,0.0055,0.0084,0.0060,0.0044,0.0045,0.0044,0.0042,0.0042,0.0055,0.0066,0.0066,0.0082,0.0153,0.0100,0.0181,0.0130,0.0153,0.0134,0.0188,0.0209,0.0171,0.0194,0.0194,0.0191,0.0240,0.0235,0.0253,0.0218,0.0380,0.0356,0.0244,0.0184,0.0240,0.0109,0.0181,0.0178,0.0223,0.0130,0.0119,0.0133,0.0223,0.0198,0.0134,0.0125,0.0125,0.0235,0.0494,0.0454,0.0581,0.0263,0.0143,0.0198,0.0148,0.0084,0.0086,0.0086,0.0083,0.0064,0.0061,0.0096,0.0066,0.0061,0.0083,0.0108,0.0080,0.0081,0.0078,0.0074,0.0084,0.0090,0.0171,0.0240,0.0120,0.0227,0.0275,0.0320,0.0313,0.0281,0.0483,0.0870,0.0405,0.0380,0.0269,0.0165,0.0148,0.0269,0.0555,0.0235,0.0153,0.0092,0.0141,0.0087,0.0108,0.0188,0.0194,0.0223,0.0313,0.0372,0.0424,0.0294,0.0178,0.0160,0.0171,0.0294,0.0543,0.0294,0.0306,0.0184,0.0372,0.0646,0.1162,0.1007,0.2002,0.1251,0.1424,0.0929,0.1554,0.1070,0.1070,0.0799,0.0555,0.0555,0.1251,0.1702,0.1671,0.1671,0.2783,0.2575,0.3321,0.2470,0.1731,0.1206,0.0592,0.0506,0.0463,0.0405,0.0568,0.0349,0.0494,0.0424,0.0618,0.0690,0.1399,0.1476,0.1759,0.1759,0.1501,0.0985,0.0835,0.0473,0.0690,0.1137,0.1399,0.1643,0.1643,0.2436,0.1611,0.1852,0.2470,0.3249,0.2609,0.1643,0.1583,0.1449,0.0704,0.0734,0.0749,0.0948,0.1323,0.1791,0.2645,0.3087,0.2164,0.2164,0.3117,0.3249,0.3321,0.3356,0.2328,0.1643,0.1583,0.1323,0.1349,0.2436,0.2541,0.3667,0.3740,0.2951,0.2094,0.2034,0.1852,0.2064,0.1583,0.2399,0.2752,0.2328,0.1298,0.0749,0.1298,0.1969,0.2292,0.2258,0.3286,0.4087,0.3840,0.3053,0.1969,0.2002,0.2817,0.2715,0.2129,0.2258,0.2034,0.1852,0.2034,0.1583,0.1323,0.1823,0.2193,0.2399,0.1643,0.1048,0.1048,0.1115,0.1184,0.0888,0.1349,0.2328,0.1852,0.1852,0.2715,0.2817,0.2849,0.2918,0.3566,0.3286,0.3460,0.4087,0.3840,0.4369,0.3215,0.4149,0.4652,0.3774,0.3840,0.3149,0.3704,0.3566,0.3566,0.3983,0.3087,0.3215,0.3840,0.3321,0.2436,0.2436,0.2129,0.1852,0.1162,0.1791,0.1759,0.2645,0.2470,0.2129,0.3019,0.3019,0.3667,0.2715,0.2292,0.2193,0.1424,0.2129,0.1969,0.1206,0.1424,0.2193,0.2193,0.2575,0.3460,0.3704,0.3740,0.3948,0.3087,0.3149,0.3321,0.2988,0.2193,0.1137,0.1048,0.0929,0.0985,0.0799,0.0543,0.0405,0.0719,0.0719,0.0719,0.0676,0.0531,0.0531,0.0799,0.0433,0.0389,0.0765,0.0605,0.0817,0.0985,0.1424,0.1702,0.2752,0.2328,0.1349,0.2503,0.2094,0.2575,0.2470,0.1702,0.1702,0.1251,0.0888,0.0749,0.0349,0.0356,0.0214,0.0160,0.0138,0.0120,0.0088,0.0087,0.0093,0.0083,0.0078,0.0080,0.0076,0.0072,0.0072,0.0058,0.0059,0.0054,0.0048,0.0062,0.0046,0.0066,0.0088,0.0086,0.0070,0.0086,0.0108,0.0163,0.0157,0.0231,0.0188,0.0398,0.0734,0.0581,0.1206,0.1229,0.1759,0.2503,0.2849,0.3807,0.3667,0.4582,0.4369,0.4149,0.5176,0.6531,0.6482,0.6269,0.6043,0.5951
ExposeBuried	1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
SurfaceAccessbility	0.761,0.463,0.437,0.430,0.384,0.140,0.326,0.257,0.091,0.079,0.107,0.075,0.067,0.085,0.080,0.048,0.111,0.118,0.095,0.055,0.139,0.125,0.161,0.517,0.304,0.189,0.302,0.055,0.028,0.061,0.044,0.086,0.116,0.402,0.275,0.220,0.139,0.138,0.126,0.173,0.043,0.358,0.348,0.032,0.049,0.538,0.270,0.035,0.292,0.667,0.362,0.483,0.207,0.452,0.055,0.103,0.068,0.056,0.077,0.275,0.554,0.215,0.424,0.290,0.392,0.239,0.540,0.567,0.651,0.400,0.337,0.281,0.537,0.226,0.512,0.410,0.226,0.539,0.261,0.449,0.228,0.376,0.344,0.671,0.500,0.129,0.434,0.617,0.331,0.051,0.280,0.458,0.209,0.105,0.387,0.540,0.294,0.101,0.499,0.558,0.266,0.142,0.498,0.528,0.250,0.153,0.409,0.339,0.137,0.221,0.487,0.280,0.125,0.312,0.421,0.069,0.087,0.333,0.190,0.059,0.202,0.443,0.207,0.016,0.407,0.426,0.080,0.116,0.482,0.364,0.446,0.563,0.077,0.089,0.577,0.354,0.063,0.497,0.720,0.514,0.495,0.076,0.363,0.073,0.067,0.049,0.072,0.156,0.122,0.150,0.228,0.151,0.022,0.105,0.299,0.063,0.034,0.132,0.494,0.207,0.108,0.638,0.139,0.321,0.092,0.045,0.067,0.050,0.051,0.247,0.210,0.149,0.185,0.195,0.314,0.274,0.307,0.607,0.474,0.409,0.407,0.530,0.142,0.237,0.344,0.145,0.252,0.305,0.145,0.087,0.143,0.288,0.150,0.262,0.346,0.388,0.155,0.288,0.375,0.271,0.124,0.325,0.065,0.163,0.382,0.222,0.031,0.245,0.276,0.076,0.051,0.169,0.158,0.053,0.184,0.315,0.252,0.113,0.187,0.160,0.276,0.225,0.220,0.141,0.540,0.469,0.074,0.176,0.644,0.215,0.089,0.327,0.633,0.214,0.210,0.721,0.352,0.446,0.347,0.300,0.130,0.174,0.476,0.150,0.136,0.354,0.421,0.074,0.220,0.043,0.037,0.031,0.038,0.118,0.171,0.324,0.114,0.325,0.170,0.571,0.171,0.325,0.358,0.258,0.228,0.136,0.225,0.389,0.108,0.186,0.083,0.058,0.096,0.119,0.123,0.361,0.142,0.440,0.518,0.524,0.538,0.377,0.169,0.324,0.616,0.402,0.058,0.436,0.525,0.089,0.068,0.586,0.482,0.281,0.424,0.527,0.327,0.063,0.046,0.027,0.031,0.041,0.072,0.083,0.189,0.286,0.187,0.131,0.520,0.578,0.150,0.523,0.552,0.651,0.317,0.072,0.347,0.299,0.057,0.118,0.453,0.138,0.114,0.283,0.567,0.095,0.290,0.409,0.390,0.048,0.093,0.059,0.259,0.102,0.550,0.238,0.653,0.504,0.330,0.581,0.450,0.159,0.291,0.482,0.388,0.138,0.298,0.102,0.087,0.370,0.077,0.101,0.154,0.389,0.411,0.340,0.117,0.177,0.344,0.203,0.263,0.368,0.134,0.273,0.062,0.054,0.076,0.174,0.146,0.179,0.217,0.270,0.228,0.111,0.050,0.094,0.126,0.084,0.047,0.196,0.347,0.258,0.075,0.095,0.056,0.039,0.050,0.030,0.048,0.067,0.112,0.170,0.311,0.277,0.342,0.567,0.240,0.160,0.469,0.352,0.130,0.540,0.314,0.540,0.528,0.153,0.160,0.115,0.339,0.102,0.407,0.162,0.426,0.491,0.133,0.374,0.316,0.613,0.334,0.041,0.231,0.472,0.126,0.042,0.374,0.418,0.083,0.097,0.646,0.400,0.681,0.463,0.136,0.429,0.603,0.240,0.076,0.275,0.393,0.067,0.197,0.443,0.144,0.233,0.537,0.612,0.419,0.357,0.219,0.496,0.225,0.148,0.386,0.226,0.055,0.059,0.084,0.044,0.035,0.196,0.077,0.033,0.108,0.406,0.298,0.619,0.503,0.133,0.557,0.251,0.075,0.272,0.216,0.148,0.137,0.239,0.531,0.118,0.328,0.098,0.144,0.246,0.205,0.143,0.149,0.067,0.130,0.055,0.083,0.100,0.084,0.102,0.133,0.138,0.108,0.142,0.171,0.148,0.113,0.142,0.126,0.079,0.099,0.135,0.231,0.039,0.042,0.107,0.110,0.056,0.066,0.271,0.348,0.071,0.253,0.415,0.557,0.554,0.403,0.482,0.147,0.558,0.570,0.300,0.450,0.614,0.511,0.617,0.678,0.795
