UniprotID	Q9NXG0-2
Accession	Q9NXG0;A5Z2X6;Q5VYJ0;Q8N1G9;Q9HAJ5
EntryName	CNTLN_HUMAN
ProteinName	Centlein (Centrosomal protein)
GeneName	CNTLN C9orf101 C9orf39
Length	1406
Function	Required for centrosome cohesion and recruitment of CEP68 to centrosomes.
Subcellular Location	Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Centriole
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.22790472
pNuLoCRegion	
