UniprotID	Q8IV53-2
Accession	Q8IV53;B4E051;D3PFD4;Q8NDB1;Q9H5Z2
EntryName	DEN1C_HUMAN
ProteinName	DENN domain-containing protein 1C (Connecdenn 3) (Protein FAM31C)
GeneName	DENND1C FAM31C
Length	757
Function	Guanine nucleotide exchange factor (GEF) which may activate RAB8A, RAB13 and RAB35. Promotes the exchange of GDP to GTP, converting inactive GDP-bound Rab proteins into their active GTP-bound form.
Subcellular Location	Cytoplasm; Cytosol; Cytoplasmic vesicle; Clathrin-coated vesicle
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.4638374
pNuLoCRegion	23...36;87...101
