UniprotID	Q86VF7-3
Accession	Q86VF7;O15500;Q5VWI3;Q5VWI4;Q6MZK3;Q6N026;Q6N059;Q6NSH8;Q6PDB0;Q719H6;Q86TC5;Q86TD6;Q86TE6;Q86VF6;Q8N3R6;Q8N8F9;Q8TCH0;Q96MG4
EntryName	NRAP_HUMAN
ProteinName	Nebulin-related-anchoring protein (N-RAP)
GeneName	NRAP
Length	1703
Function	May be involved in anchoring the terminal actin filaments in the myofibril to the membrane and in transmitting tension from the myofibrils to the extracellular matrix.
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.6947871
pNuLoCRegion	8...11;29...49
