UniprotID	Q5T7W0-2
Accession	Q5T7W0;B9EG82;Q4G0X6;Q5T7W1;Q6ZT53;Q7Z6B9;Q8TF49;Q96E49
EntryName	ZN618_HUMAN
ProteinName	Zinc finger protein 618
GeneName	ZNF618 KIAA1952
Length	861
Function	Regulates UHRF2 function as a specific 5-hydroxymethylcytosine (5hmC) reader by regulating its chromatin localization.
Subcellular Location	Nucleus; Chromosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9489162
pNuLoCRegion	27...53;86...94;759...768
