UniprotID	Q9UHC9-3
Accession	Q9UHC9;A4D2J7;B7ZLE6;D3DVK9;Q17RV5;Q6R3Q4;Q9UHC8
EntryName	NPCL1_HUMAN
ProteinName	NPC1-like intracellular cholesterol transporter 1 (NPC1L1) (Niemann-Pick C1-like protein 1)
GeneName	NPC1L1
Length	724
Function	Plays a major role in cholesterol homeostasis (PubMed:22095670). Critical for the uptake of cholesterol across the plasma membrane of the intestinal enterocyte (PubMed:22095670). Involved in plant sterol absorption, it transports sitosterol, although at lower rates than cholesterol (By similarity). Is the direct molecular target of ezetimibe, a drug that inhibits cholesterol absorption and is approved for the treatment of hypercholesterolemia (PubMed:15928087). May have a function in the transport of multiple lipids and their homeostasis, thereby influencing lipid metabolism regulation (PubMed:15671032). May be involved in caveolin trafficking from the plasma membrane (By similarity). In addition, acts as a negative regulator of NPC2 and down-regulates its expression and secretion by inhibiting its maturation and accelerating its degradation (PubMed:22095670).
Subcellular Location	Apical cell membrane; Cell membrane; Cytoplasmic vesicle membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.021777382
pNuLoCRegion	
