UniprotID	Q86UP0-2
Accession	Q86UP0;D3DS44;Q86UP1;Q9NT84
EntryName	CAD24_HUMAN
ProteinName	Cadherin-24
GeneName	CDH24 CDH11L UNQ2834/PRO34009
Length	781
Function	Cadherins are calcium-dependent cell adhesion proteins. They preferentially interact with themselves in a homophilic manner in connecting cells; cadherins may thus contribute to the sorting of heterogeneous cell types. Cadherin-24 mediate strong cell-cell adhesion.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.00847558
pNuLoCRegion	
