UniprotID	Q8N8J6-3
Accession	Q8N8J6;B7ZKW9;Q2M2Y6;Q5CZB0;Q6ZMT7;Q6ZRB3
EntryName	ZN615_HUMAN
ProteinName	Zinc finger protein 615
GeneName	ZNF615
Length	738
Function	May be involved in transcriptional regulation.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9538489
pNuLoCRegion	26...39;90...101;212...239;255...274;286...325;344...371;376...392;411...448;462...496;511...512;530...566;580...623;644...669;675...695;709...734
