UniprotID	Q8NF64-3
Accession	Q8NF64;A4D2K7;D3DVL1;O94790;Q0VGB4;Q659A8;Q6JKL5;Q8WTX8;Q96Q01;Q9BQH7
EntryName	ZMIZ2_HUMAN
ProteinName	Zinc finger MIZ domain-containing protein 2 (PIAS-like protein Zimp7)
GeneName	ZMIZ2 KIAA1886 ZIMP7 HRIHFB2007
Length	862
Function	Increases ligand-dependent transcriptional activity of AR and other nuclear hormone receptors.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7283134
pNuLoCRegion	157...166;639...653;679...680
