UniprotID	Q86YN6-6
Accession	Q86YN6;A2RUM8;A2RUN0;B3KVW0;Q86YN3;Q86YN4;Q86YN5;Q8N1N9;Q8TDE4;Q8TDE5
EntryName	PRGC2_HUMAN
ProteinName	Peroxisome proliferator-activated receptor gamma coactivator 1-beta (PGC-1-beta) (PPAR-gamma coactivator 1-beta) (PPARGC-1-beta) (PGC-1-related estrogen receptor alpha coactivator)
GeneName	PPARGC1B PERC PGC1 PGC1B PPARGC1
Length	959
Function	Plays a role of stimulator of transcription factors and nuclear receptors activities. Activates transcriptional activity of estrogen receptor alpha, nuclear respiratory factor 1 (NRF1) and glucocorticoid receptor in the presence of glucocorticoids. May play a role in constitutive non-adrenergic-mediated mitochondrial biogenesis as suggested by increased basal oxygen consumption and mitochondrial number when overexpressed. May be involved in fat oxidation and non-oxidative glucose metabolism and in the regulation of energy expenditure. Induces the expression of PERM1 in the skeletal muscle in an ESRRA-dependent manner.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9717685
pNuLoCRegion	3...21;37...52;311...322;362...386;514...515
